Timestamp,Sensor_ID,Voltage (V),Current (A),Temperature (°C),Power (W),Humidity (%),Vibration (m/s²),Equipment_ID,Operational Status,Fault Status,Failure Type,Last Maintenance Date,Maintenance Type,Failure History,Repair Time (hrs),Maintenance Costs (USD),Ambient Temperature (°C),Ambient Humidity (%),External Factors,X,Y,Z,Equipment Relationship,Equipment Criticality,Fault Detected,Predictive Maintenance Trigger,Vibration (m/s²)_lag_1,Vibration (m/s²)_lag_2,Temperature (°C)_lag_1,Temperature (°C)_lag_2,Vibration (m/s²)_roll_mean_1,Vibration (m/s²)_roll_mean_4,Vibration (m/s²)_roll_mean_8,Temperature (°C)_roll_mean_1,Temperature (°C)_roll_mean_4,Temperature (°C)_roll_mean_8,Failure_next_24h
2024-01-01 00:00:00,S_1,110,0.5,20,55.0,40,0.2,E_1,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,5,150,20,40,Clear Weather,0,0,0,Independent,High,1,1,,,,,0.2,0.2,0.2,20.0,20.0,20.0,0
2024-01-01 09:00:00,S_10,119,0.9,29,107.1,49,0.4,E_10,Under Maintenance,Fault Detected,Overload,2024-12-01,Corrective,No Fault,9,240,24,44,Storm,9,9,9,Independent,Medium,1,0,,,,,0.4,0.4,0.4,29.0,29.0,29.0,1
2024-01-05 03:00:00,S_100,119,0.9,29,107.1,49,0.4,E_50,Under Maintenance,Fault Detected,Overload,2024-12-01,Corrective,No Fault,9,240,24,44,Storm,99,49,9,Independent,Medium,1,0,,,,,0.4,0.4,0.4,29.0,29.0,29.0,1
2024-01-05 04:00:00,S_101,110,0.5,20,55.0,40,0.2,E_1,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,0,0,10,Dependent,High,0,1,,,,,0.2,0.2,0.2,20.0,20.0,20.0,0
2024-01-05 05:00:00,S_102,111,0.6,21,66.6,41,0.25,E_2,Under Maintenance,No Fault,Overload,2024-12-01,Corrective,No Fault,0,160,21,41,Storm,1,1,11,Dependent,Medium,0,0,,,,,0.25,0.25,0.25,21.0,21.0,21.0,0
2024-01-05 06:00:00,S_103,112,0.7,22,78.4,42,0.3,E_3,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,7,170,22,42,Clear Weather,2,2,12,Independent,High,1,0,,,,,0.3,0.3,0.3,22.0,22.0,22.0,0
2024-01-05 07:00:00,S_104,113,0.8,23,90.4,43,0.35,E_4,Under Maintenance,No Fault,Overload,2024-12-01,Corrective,No Fault,0,180,23,43,Storm,3,3,13,Dependent,Medium,0,0,,,,,0.35,0.35,0.35,23.0,23.0,23.0,0
2024-01-05 08:00:00,S_105,114,0.9,24,102.6,44,0.4,E_5,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,190,24,44,Clear Weather,4,4,14,Dependent,High,0,1,,,,,0.4,0.4,0.4,24.0,24.0,24.0,0
2024-01-05 09:00:00,S_106,115,0.5,25,57.5,45,0.2,E_6,Under Maintenance,Fault Detected,Overheating,2024-12-01,Corrective,No Fault,5,200,20,40,Storm,5,5,15,Independent,Medium,1,0,,,,,0.2,0.2,0.2,25.0,25.0,25.0,0
2024-01-05 10:00:00,S_107,116,0.6,26,69.6,46,0.25,E_7,Operational,No Fault,Overload,2024-12-01,Preventive,No Fault,0,210,21,41,Clear Weather,6,6,16,Dependent,High,0,0,,,,,0.25,0.25,0.25,26.0,26.0,26.0,0
2024-01-05 11:00:00,S_108,117,0.7,27,81.9,47,0.3,E_8,Under Maintenance,No Fault,Overload,2024-12-01,Corrective,No Fault,0,220,22,42,Storm,7,7,17,Dependent,Medium,0,0,,,,,0.3,0.3,0.3,27.0,27.0,27.0,0
2024-01-05 12:00:00,S_109,118,0.8,28,94.4,48,0.35,E_9,Operational,Fault Detected,Overload,2024-12-01,Preventive,Fault Detected,8,230,23,43,Clear Weather,8,8,18,Independent,High,1,1,,,,,0.35,0.35,0.35,28.0,28.0,28.0,0
2024-01-01 10:00:00,S_11,110,0.5,20,55.0,40,0.2,E_11,Operational,No Fault,Overheating,2024-12-01,Preventive,No Fault,0,150,20,40,Clear Weather,10,10,10,Dependent,High,0,0,,,,,0.2,0.2,0.2,20.0,20.0,20.0,0
